"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 06 23:23:15 GMT+03:00 2025","Sat Dec 06 23:23:17 GMT+03:00 2025","1819","","ru.yandex.praktikum.tests.LoginUserTest","","ru.yandex.praktikum.tests.LoginUserTest","loginExistingUserSuccess","Успешный логин под существующим пользователем",""
"passed","Sat Dec 06 23:23:17 GMT+03:00 2025","Sat Dec 06 23:23:18 GMT+03:00 2025","1830","","ru.yandex.praktikum.tests.LoginUserTest","","ru.yandex.praktikum.tests.LoginUserTest","loginWithWrongCredsReturns401","Логин с неверным логином/паролем возвращает 401",""
"passed","Sat Dec 06 23:23:05 GMT+03:00 2025","Sat Dec 06 23:23:07 GMT+03:00 2025","1792","","ru.yandex.praktikum.tests.CreateOrderTest","","ru.yandex.praktikum.tests.CreateOrderTest","createOrderWithWrongHashReturns400","Создание заказа с неверным хешем ингредиентов возвращает 400",""
"passed","Sat Dec 06 23:23:10 GMT+03:00 2025","Sat Dec 06 23:23:12 GMT+03:00 2025","1831","","ru.yandex.praktikum.tests.GetUserOrdersTest","","ru.yandex.praktikum.tests.GetUserOrdersTest","notAuthorisedUserGets401","Неавторизованный пользователь не может получить заказы",""
"passed","Sat Dec 06 23:23:18 GMT+03:00 2025","Sat Dec 06 23:23:20 GMT+03:00 2025","1846","","ru.yandex.praktikum.tests.UpdateUserTest","","ru.yandex.praktikum.tests.UpdateUserTest","updateUserWithAuthSuccess","Можно изменить любые данные авторизованного пользователя",""
"passed","Sat Dec 06 23:23:12 GMT+03:00 2025","Sat Dec 06 23:23:15 GMT+03:00 2025","2331","","ru.yandex.praktikum.tests.GetUserOrdersTest","","ru.yandex.praktikum.tests.GetUserOrdersTest","authorisedUserCanGetOrders","Авторизованный пользователь может получить свои заказы",""
"passed","Sat Dec 06 23:23:10 GMT+03:00 2025","Sat Dec 06 23:23:10 GMT+03:00 2025","382","","ru.yandex.praktikum.tests.CreateUserTest","","ru.yandex.praktikum.tests.CreateUserTest","createUserWithoutRequiredFieldReturnsError","Нельзя создать пользователя без обязательного поля",""
"passed","Sat Dec 06 23:23:07 GMT+03:00 2025","Sat Dec 06 23:23:09 GMT+03:00 2025","1842","","ru.yandex.praktikum.tests.CreateUserTest","","ru.yandex.praktikum.tests.CreateUserTest","createAlreadyExistUserReturns403","Нельзя создать уже зарегистрированного пользователя",""
"passed","Sat Dec 06 23:22:53 GMT+03:00 2025","Sat Dec 06 23:22:57 GMT+03:00 2025","4120","","ru.yandex.praktikum.tests.CreateOrderTest","","ru.yandex.praktikum.tests.CreateOrderTest","createOrderWithoutIngredientsReturns400","Создание заказа без ингредиентов возвращает 400",""
"passed","Sat Dec 06 23:23:03 GMT+03:00 2025","Sat Dec 06 23:23:05 GMT+03:00 2025","2188","","ru.yandex.praktikum.tests.CreateOrderTest","","ru.yandex.praktikum.tests.CreateOrderTest","createOrderWithoutAuthButWithIngredients","Создание заказа без авторизации, но с ингредиентами",""
"passed","Sat Dec 06 23:23:09 GMT+03:00 2025","Sat Dec 06 23:23:10 GMT+03:00 2025","1394","","ru.yandex.praktikum.tests.CreateUserTest","","ru.yandex.praktikum.tests.CreateUserTest","createUniqueUserSuccess","Можно создать уникального пользователя","200 OK, success=true, возвращаются токены"
"passed","Sat Dec 06 23:22:58 GMT+03:00 2025","Sat Dec 06 23:23:03 GMT+03:00 2025","5261","","ru.yandex.praktikum.tests.CreateOrderTest","","ru.yandex.praktikum.tests.CreateOrderTest","createOrderWithAuthAndIngredientsSuccess","Создание заказа с авторизацией и ингредиентами",""
"passed","Sat Dec 06 23:23:20 GMT+03:00 2025","Sat Dec 06 23:23:22 GMT+03:00 2025","1774","","ru.yandex.praktikum.tests.UpdateUserTest","","ru.yandex.praktikum.tests.UpdateUserTest","updateUserWithoutAuthReturnsError","Нельзя изменить данные без авторизации",""
